Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-10-01,,,,1851.9875083485565,38.0,38,45.5775861,5.2106073,45.7940836,5.3013186,2183,6766.5563406944275,2.212655816515894,19.471349716186523,0.26275432109832764,54,1945598,76356942,1529669,
2019-10-02,,,,1684.271027563861,,,,,,,1180,483.5249961614609,0.4868925330968862,1.46428644657135,0.33799928426742554,12,,83486054,826093,
2019-10-03,,,,1892.5101645645186,43.0,43,45.566291,5.2051589,45.5862077,5.2207472,1594,6247.5009487867355,1.7381492002528782,14.728636741638184,0.0,64,2634566,44441461,1463768,
2019-10-04,,,,1679.3024532446423,5.0,5,,,,,699,107.03684616088867,0.7193589832549292,1.52653968334198,0.26788491010665894,14,344647,84530469,375142,
2019-10-05,,,,1729.5132754784463,10.0,10,,,,,1820,856.6602251529694,1.6920780136701719,15.443436622619629,0.2880660891532898,29,498076,46422955,1044492,
2019-10-06,,,,1878.3453634824,25.0,25,48.8835084,2.2558429,48.8839893,2.2569659,4578,2978.5650656223297,0.5893051655597425,18.0,0.12260813266038895,55,362372,72205334,3659872,
2019-10-07,,,,1818.9328313189224,23.0,23,,,,,6665,2979.4880970716476,0.9329389081973867,27.030000686645508,0.2653418183326721,82,,73908711,3061185,
2019-10-08,,,,2106.674102322639,25.0,25,24.8421396,51.5009968,25.3261662,51.5341739,11454,5737.126177884638,3.3495844270014765,79.06071472167969,0.044110700488090515,146,,63747237,7832925,
2019-10-09,,,,1794.2853392391078,6.0,6,,,,,4559,2152.694429755211,1.2518546410747653,27.321083068847656,0.2558199167251587,64,,70623809,2652091,
2019-10-10,,,,1706.5517015424512,,,,,,,1712,430.1679985523224,0.7285954861677609,0.9670737385749817,0.24963733553886414,24,,73395508,1195903,
2019-10-11,,,,1857.1162709960834,14.0,14,-8.6502641,115.1328743,-8.647872,115.1348627,2724,2144.3623604774475,0.6214606463058716,9.053764343261719,0.2514543831348419,46,945394,42931966,2684173,
2019-10-12,,,,1848.6737357581774,19.0,19,-8.6618411,115.1275643,-8.653691,115.1354574,4176,1857.5899655222893,0.6931237447543177,11.571261405944824,0.06568751484155655,65,976659,80412267,2491116,
2019-10-13,,,,1695.3444492546207,,,,,,,1172,288.36258029937744,1.6377616459229363,5.285445213317871,0.2891877293586731,14,,75806732,862559,64634
2019-10-14,,,,1761.51299175745,7.0,7,-8.6616055,115.128609,-8.6582332,115.1329636,3864,1785.4620079994202,1.6014326486337918,9.768670082092285,0.3460833728313446,47,,79738308,2108142,
2019-10-15,,,,1735.8859653758423,13.0,13,,,,,1203,415.2770895957947,0.9333496671031897,11.963068962097168,0.3550337851047516,26,790880,76772343,698092,61034
2019-10-16,,,,1867.0937817421604,28.0,28,-8.662016,115.1258153,-8.6556966,115.1333762,5095,3031.7979929447174,2.487289859351389,14.545679092407227,0.29504871368408203,60,341179,74780865,3495780,
2019-10-17,,,,1818.6297897992058,14.0,14,-8.6621363,115.1279134,-8.6575254,115.1333929,4595,2687.010500192642,1.525963660813063,3.3345425128936768,0.22963418066501617,52,,81630672,2923005,
2019-10-18,,,,1755.4861401703463,1.0,1,-8.6687751,115.1297993,-8.6514606,115.1412306,2866,1294.8439841270447,0.9333819816165418,10.584611892700195,0.047569263726472855,38,,82205884,1867182,61826
2019-10-19,,,,1802.9510555676588,15.0,15,-8.656408,115.1410877,-8.6562886,115.1411694,1973,1009.048041343689,1.1204768832659247,2.2484123706817627,0.2605787217617035,36,1026914,83197151,1697988,
2019-10-20,,,,1831.0491462206742,2.0,2,-8.6620118,115.1250522,-8.6551135,115.1347069,5062,2605.5064442157745,0.9113551096740654,11.39985466003418,0.060989830642938614,56,,79810587,3262290,
2019-10-21,,,,1736.400949048797,1.0,1,-8.6525015,115.1165814,-8.6483776,115.1219917,3775,1443.2951216101646,1.2858708238082968,16.609464645385742,0.2945989668369293,57,,80052088,1691335,
2019-10-22,,,,1876.8196375798532,8.0,8,-8.6601681,115.1237381,-8.6504507,115.1309225,5487,2711.018018603325,0.8708447422214554,12.279596328735352,0.26323202252388,64,71159,78655616,3739916,90367
2019-10-23,,,,1814.9922040698646,19.0,19,-8.6560995,115.1240895,-8.6538407,115.1260681,3016,1845.8491361141205,1.1164631599106534,13.12026596069336,0.3336781859397888,55,1157706,72638075,1720348,
